Depth,Inc,Azi,TVD,EW,NS,Dogleg
0,0,0,0,0,0,0
10,0.07,154.27,9.99999751229126,0.002651953986359,-0.005502977802523,0.069999999998729
20,0.13,36.93,19.9999885663643,0.012120209655619,-0.00193739306073,0.17366261540565
30,0.23,347.41,29.9999432745591,0.014561521416694,0.026719804704435,0.17600803781236
40,0.28,314.61,39.9998491313689,-0.00720849070754,0.063468245944876,0.15177252021756
50,0.22,289.77,49.9997563749481,-0.042670490945002,0.087121884879672,0.1224657131699
60,0.14,246.61,59.9997104452828,-0.071950803832933,0.088765597150779,0.15187514456402
70,0.15,190.46,69.9996831325548,-0.085540602422401,0.071043049602946,0.13676660773743
80,0.2,151.04,79.9996396355574,-0.079466220670549,0.042899747782463,0.12707968102858
90,0.24,130.83,89.9995672154945,-0.055168114821847,0.013935407554963,0.086662730131638
100,0.34,102.64,99.9994427687634,-0.010369490500317,-0.006250691782003,0.17134079463524
110,0.51,95.17,109.999164741527,0.062906154411042,-0.01675373932368,0.17844667587655
120,0.51,83.7,119.998771226224,0.15146696448832,-0.015880403101216,0.10192479504591
130,0.49,73.82,129.9983922876,0.23676988345565,0.000918697798822,0.088386689090834
140,0.69,70.68,139.997857286662,0.33465792245527,0.03275497092058,0.2025220051943
150,0.9,67.39,149.996889595723,0.46398015806392,0.082869828428815,0.21481823837133
160,0.9,64.96,159.995656290258,0.60763580471511,0.14630440727646,0.038165921185624
170,0.93,64.11,169.994381083296,0.75180005920863,0.21498066669312,0.032927086428821
180,0.92,64.62,179.993077924716,0.89734248437932,0.28482656811429,0.012953134716784
190,0.83,75.01,189.991917161376,1.03983986487673,0.33797063416784,0.18204293516837
200,0.88,84.5,199.990808523991,1.1862418393114,0.36406448339642,0.14996820517618
210,0.7,85.14,209.989853887955,1.32354527208023,0.37659983207324,0.18021335553021
220,0.93,86.82,219.988835660935,1.46544013337739,0.38627691542178,0.23121336812741
230,1,82.26,229.987418230041,1.63293648790178,0.40253106282618,0.10386068799987
240,0.9,79,239.986043145608,1.79649721408186,0.42926883382631,0.11363346764036
250,0.52,69.1,249.985260578451,1.91598361493684,0.4604424809762,0.39791583700352
260,0.24,16.72,259.985055378036,1.96440155227761,0.49668910395472,0.41909158245457
270,0.26,356.35,269.984962115585,1.96898257510919,0.53939071811885,0.090578134001388
280,0.32,324.16,279.984840060101,1.95118731169252,0.58467157750392,0.17081505754259
290,1.45,280.45,289.983550396125,1.81040670543005,0.63025938883172,1.23858304526483
300,2.29,274.74,299.978143633495,1.48687262449933,0.66971777060826,0.85938355722617
310,3.39,271.87,309.965713082263,0.99225019556508,0.69587580086051,1.10880972671682
320,4.19,269.59,319.943767917841,0.33142449977249,0.70290972222222,0.81391470614765
330,5.42,269.7,329.908432123576,-0.50619162372151,0.69782253293776,1.23003394770869
340,6.82,269.47,339.851192826084,-1.57224478285449,0.6898570190064,1.40021191995967
350,8.43,269.55,349.762444148534,-2.89904188928014,0.67860704938577,1.61003460581896
360,9.73,269.67,359.636921967569,-4.47710527934405,0.66798266403365,1.30013722745048
370,10.7,269.28,369.478297766279,-6.25042096082478,0.65144981545645,0.9724571488691
380,12.11,269.72,379.280591510399,-8.22771445902044,0.63465739714214,1.41267179868953
390,12.93,271.17,389.042736614252,-10.3952595255758,0.65237639707112,0.87812016545302
400,13.75,271.86,398.77284013429,-12.7016727653355,0.71379559227803,0.83529744017491
410,14.47,274.01,408.471138722449,-15.1358316844027,0.83974032114957,0.89045673815998
420,15.39,274.49,418.133451793164,-17.7050613812781,1.03099291150442,0.9282667454131
430,16.32,275.92,427.752945232161,-20.4255140649845,1.27979114294668,1.0086608200029
440,17.33,276.82,437.324770699912,-23.3019441401446,1.60157624592041,1.04302536950128
450,18.2,277.05,446.847839939434,-26.3307052335567,1.97012019845621,0.87282405084261
460,19.29,277.07,456.317278918049,-29.5198581327495,2.36510523761367,1.09001893303907
470,20.24,277.1,465.728046308646,-32.8756268776511,2.78221677408032,0.95005413620143
480,21.04,277.35,475.086108894004,-36.3725350774061,3.22567293810227,0.80483724633179
490,21.48,277.38,484.405531998997,-39.9686161039346,3.69049816539854,0.44013443313554
500,22.07,277.2,493.691969802994,-43.6482455918786,4.16114111556477,0.59376585264961
510,22.93,276.53,502.930693813494,-47.4475977839698,4.61815021454511,0.89739424338836
520,23.83,274.7,512.1096542816,-51.3964536822043,5.00522588687749,1.15634578269677
530,24.8,272.12,521.222761507798,-55.5058230989772,5.24834738853142,1.43834904035215
540,25.77,270.29,530.264737710955,-59.7755865234269,5.33693639732375,1.24563033037468
550,26.3,268.84,539.250058981025,-64.1643352022606,5.3030897098999,0.82818583781838
560,26.41,266.91,548.210831568613,-68.6000452481471,5.13835656235979,0.86378630654146
570,27.21,264.52,557.136093384413,-73.096791598207,4.80012523242616,1.34225321352617
580,27.96,262.48,565.999479232046,-77.6968906841072,4.27497077570355,1.20608370001296
